央视▪超清,#genre#
CCTV1,http://39.135.253.25/PLTV/88888888/224/3221230131/index.m3u8
CCTV2,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227543/index.m3u8
CCTV3,http://39.135.140.227:6610/PLTV/88888888/224/3221225634/2/index.m3u8?fmt=ts2hls
CCTV4,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV5,http://39.135.140.227:6610/PLTV/88888888/224/3221225649/2/index.m3u8?fmt=ts2hls
CCTV6,http://39.135.253.19/PLTV/88888888/224/3221230154/index.m3u8
CCTV7,http://39.135.140.227:6610/PLTV/88888888/224/3221225499/2/index.m3u8?fmt=ts2hls
CCTV8,http://39.135.253.11/PLTV/88888888/224/3221230169/index.m3u8
CCTV9,http://39.135.140.227:6610/PLTV/88888888/224/3221225626/2/index.m3u8?fmt=ts2hls
CCTV11,http://39.135.140.227:6610/PLTV/88888888/224/3221225628/2/index.m3u8?fmt=ts2hls
CCTV10,http://39.135.253.18/PLTV/88888888/224/3221230137/index.m3u8
CCTV12,http://39.135.140.227:6610/PLTV/88888888/224/3221225495/2/index.m3u8?fmt=ts2hls
CCTV13,http://39.135.140.227:6610/PLTV/88888888/224/3221225638/2/index.m3u8?fmt=ts2hls
CCTV14,http://39.135.253.34/PLTV/88888888/224/3221230134/index.m3u8
CCTV_15,http://39.135.140.227:6610/PLTV/88888888/224/3221225641/2/index.m3u8?mt=ts2hls
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV17,http://39.135.140.227:6610/PLTV/88888888/224/3221225907/2/index.m3u8?fmt=ts2hls
CCTV世界地理,http://39.135.253.10/PLTV/88888888/224/3221230072/index.m3u8
中央怀旧剧场,http://117.148.179.160/PLTV/88888888/224/3221231544/index.m3u8
第一剧场,http://117.148.179.160/PLTV/88888888/224/3221231540/index.m3u8
卫视▪超清,#genre#
五星体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/2300000/mnf.m3u8
东南卫视,http://39.135.253.5/PLTV/88888888/224/3221230136/index.m3u8
东方卫视,http://39.135.253.18/PLTV/88888888/224/3221230133/index.m3u8
北京卫视,http://39.135.253.23/PLTV/88888888/224/3221230129/index.m3u8
